Gene name
TBX19
PAFAH1B3
SFXN4
FNBP1L
CHKB
ZFP92
DBT
DENND4A
CENPC
ATXN7L3
HAS1
TNRC18
RAB1A
AARSD1
CCDC157
SLC35D3
ITGA9
CNEP1R1
TLE1
SCGB1A1
SCPEP1
OVOL1
SPECC1L
CTNNA2
SLCO3A1
ZKSCAN7
OBP2B
PNMA3
INCENP
RNF144B
PSCA
SERPINH1
SRP72
LDHAL6A
TNNT1
CHST9
PIERCE1
P4HB
IL17C
TGFBI
HNRNPA1L3
SPRY1
ZNF771
MALT1
FAXDC2
MED31
C12orf43
STKLD1
PAX7
IGLL1
TBC1D22B
MAPKAP1
FAM90A14
CEBPE
PDE7B
CCND2
PFKFB2
CCDC102B
ZBTB37
CAMTA2
ARGLU1
PLA2G10
PSMA7
DOCK11
TNFSF12-TNFSF13
ZNF117
PPIP5K1
PES1
OR10H2
MARCHF1
PSME3IP1
PABPC1L
KCNQ3
AGTR1
CDH4
ANKRD34B
TPRA1
PTCD2
HSPA14
GNE
SMARCAD1
MSC
SESN1
MYOM1
MTRF1L
MPPE1
PLGLB2
PHOX2A
RMI2
PSG11
CDKN2B
BRS3
TSGA10
OR10J5
TARM1
SLC29A2
TUBB1
U2AF1
FLYWCH2
TMEM26
NDUFAF1
LRRC52
CBX6
CCDC13
NFASC
MMP8
RNPC3
RPSA2
TRPV3
CNR2
CALB1
MOV10L1
XRCC2
RPL38
IL9
PLIN1
MAP3K7CL
RTL10
GK2
RPL26
PCDHGA8
MVP
CIRBP
COLGALT1
IFNA13
DCAF8L2
ERMAP
MRPS10
DCAF8L1
NAT8L
TTBK1
VDAC3
SCARB1
TAF1C
SREK1IP1
CYP2A13
CSMD1
IFIT1B
NUP62
NCAPG
RPLP0
ANKRD13A
XPA
CCL4L2
AHDC1
TRMU
AQP6
OSBPL9
NAT8B
NANOGNB
IFRD2
PACRG
TTLL10
MRPL23
CYP2S1
TXNRD1
ZNF722
AFMID
DNAJC2
SMUG1
BCAS3
ATP5MC1
SPMAP2
TRIM56
PRL
CIB1
LRRC53
COQ3
TRIM61
KHDRBS3
RPL13
EIF4E1B
PIKFYVE
LIPN
AK8
N4BP2
PCOLCE
KANSL2
BCKDHA
GRWD1
TIMM23
FOXG1
CCDC32
COX19
ANGPTL7
JMY
UBE2V2
POLR2J
JMJD7
SEPTIN10
SLX4
RBP2
ZNF474
HNRNPK
BCL6B
MMP13
C1QTNF12
TNFAIP8
NDC80
OSGEP
PTTG1
SEC14L1
NUCKS1
SLIT2
POU3F3
DCDC2
MAPKBP1
OR9A2
IHH
PODXL
TDRD12
METTL15
CEP89
KIF21B
OR5M11
MRPL33
ATP5MJ
NQO1
PNMA6F
SDE2
SVOPL
CYSLTR1
ZNF324
RAD51
ZNF681
CFAP221
CD209
POU3F2
CCDC127
PARL
EIF4A2
MOBP
FOXR1
SOAT1
HAPLN3
H2AJ
SLC24A5
PC
FAT2
AIM2
PDXK
RAB27A
CAPZA3
TBC1D32
SUSD4
RNF214
HAVCR1
UBAP2L
STK19
DKC1
NOL9
TBC1D3E
MPLKIP
CLTA
CTAGE4
PI4K2A
MAP7D2
METTL2B
ASCC2
RBM3
ART4
MMP10
SBDS
WNT6
MFAP2
TREM2
PRDM4
SAAL1
FERD3L
PALD1
ZNF648
RBM11
ZNF221
PAGE5
TRMT10C
CDS1
OSR1
CSNK2A2
DUXB
SYNGAP1
HYAL4
NKG7
DCSTAMP
VRK3
SEC16B
GABRD
FAM83D
H1-3
FAM3A
DDX53
TRIM34
CRNKL1
SOX6
TMEM254
LRP12
D2HGDH
FUT1
STAMBP
TSTD3
FCRL4
SERTAD1
PCDHGC3
APOBEC4
RXFP3
NME6
ATP13A5
TUFT1
TRNT1
LAMTOR3
BAG6
DPY19L4
NIBAN3
TAFA2
GAS2L3
ZDHHC15
TMOD4
DHX34
HSBP1
TCHH
TAF6
ERICH2
NPIPA2
TOM1
NRM
RNPS1
CDCA8
TNFRSF4
ASB5
OR4C3
PI4KA
GRM5
SETD1A
PARP6
FRG2
ADGRL1
ZNF701
ISX
ETAA1
HSPA9
PRELID3A
FADS3
RAB2B
ZNF530
PRRC2B
ALDH1A2
AKR1B10
RNASEK
GPX7
LIAT1
TMEM132E
SLC25A23
LRRC71
BNIPL
HMGN1
CA5B
SCG2
FAM47E
DHX58
PSG8
TSPY1
BNC2
FAHD1
CLSTN2
NOVA1
MBL2
LIMD1
PRR20D
RBCK1
SLC35C2
PIGO
TCP10L
KRTAP19-1
ZDHHC2
FAM90A18
POTED
SMARCD2
HDGFL3
FXR2
MRPS6
SUGT1
TYRP1
GPRIN2
CACHD1
RPL17
BRD2
TEX15
TMEM258
ZNF695
CNTNAP1
ZNF112
DZIP1L
LTB4R2
CDC25A
TUBA1B
DCN
ADGRF5
ALPG
STAT5A
CLPSL2
CWF19L1
ROMO1
TUBB3
NSUN4
CS
SCAND3
IL22RA1
C17orf107
POLG2
CGREF1
LSM10
FSIP2
SPOCK3
RDH10
ACTL7A
SIGLEC6
MMP25
P2RY1
ALG1L2
FOXN1
LINC02210-CRHR1
FITM2
B3GNT7
HTRA4
TMEM141
ZSCAN5C
THEM5
CD93
TMEM236
HIGD2A
TMEM276
NPFF
SLC19A2
STK4
RBM14
CHAC1
NFE2L2
KCNS2
SLC27A2
LAMB2
SPRY3
KCTD20
APCS
MRTO4
IFT70A
CAMP
ATP5F1E
POTEF
PYCR3
PHLDA3
ACOT2
OR5AL1
FAM90A9
RNF185
CCDC180
CCR6
CENPX
ARHGEF18
SFRP1
GPS2
GGT1
ZC3H7A
SLC9A8
RPF2
CAPN12
WNT9B
